hour,avg_steps,n
1,20.484818805093045,1021
2,10.588638589618022,1021
3,7.31207065750736,1019
4,9.75540275049116,1018
5,26.11307767944936,1017
6,120.16437007874016,1016
7,267.120315581854,1014
8,365.59643916913944,1011
9,430.25841584158417,1010
10,437.004995004995,1001
11,452.74523570712137,997
12,520.9447791164658,996
13,457.88253012048193,996
14,474.12449799196787,996
15,390.4693467336683,995
16,447.36683417085425,995
17,453.6639839034205,994
18,505.6465256797583,993
19,528.8781470292045,993
20,399.3178607467205,991
21,261.0090817356206,991
22,172.9838383838384,990
23,102.90182186234817,988
NA,44.42115572967679,1021
