id,sleep_date,total_minutes_asleep_method1,total_minutes_asleep_sum
1503960366,2016-03-13,411,441
1503960366,2016-03-14,354,423
1503960366,2016-03-15,312,365
1503960366,2016-03-16,333,404
1503960366,2016-03-17,402,473
1503960366,2016-03-18,379,449
1503960366,2016-03-19,447,490
1503960366,2016-03-20,469,483
1503960366,2016-03-21,390,471
1503960366,2016-03-23,281,316
1503960366,2016-03-24,303,389
1503960366,2016-03-25,351,424
1503960366,2016-03-26,437,511
1503960366,2016-03-27,483,533
1503960366,2016-03-28,73,81
1503960366,2016-03-29,349,411
1503960366,2016-03-31,308,365
1503960366,2016-04-01,283,333
1503960366,2016-04-02,439,591
1503960366,2016-04-03,379,480
1503960366,2016-04-04,294,392
1503960366,2016-04-05,280,343
1503960366,2016-04-09,380,437
1503960366,2016-04-10,455,503
1503960366,2016-04-11,310,351
1644430081,2016-03-27,373,638
1644430081,2016-03-28,466,466
1644430081,2016-03-29,56,215
1644430081,2016-03-30,538,1201
1844505072,2016-04-03,169,232
1844505072,2016-04-04,771,771
1844505072,2016-04-09,221,1160
1844505072,2016-04-10,277,383
1927972279,2016-03-11,29,44
1927972279,2016-03-12,608,650
1927972279,2016-03-13,505,530
1927972279,2016-03-14,173,186
1927972279,2016-03-15,68,68
1927972279,2016-03-16,599,696
1927972279,2016-03-17,6,6
1927972279,2016-03-18,523,591
1927972279,2016-03-19,583,641
1927972279,2016-03-20,548,609
1927972279,2016-03-21,334,370
1927972279,2016-03-22,379,413
1927972279,2016-03-23,447,505
1927972279,2016-03-24,428,447
1927972279,2016-03-25,60,66
1927972279,2016-03-26,387,425
1927972279,2016-03-27,112,129
1927972279,2016-03-28,219,241
1927972279,2016-03-29,563,615
1927972279,2016-03-30,401,407
1927972279,2016-03-31,493,551
1927972279,2016-04-01,369,397
1927972279,2016-04-02,280,357
1927972279,2016-04-03,107,116
1927972279,2016-04-04,465,501
1927972279,2016-04-05,393,451
1927972279,2016-04-06,414,445
1927972279,2016-04-09,39,56
1927972279,2016-04-10,479,516
1927972279,2016-04-11,496,559
1927972279,2016-04-12,482,514
2022484408,2016-03-13,135,153
2026352035,2016-03-11,126,174
2026352035,2016-03-12,540,610
2026352035,2016-03-13,648,696
2026352035,2016-03-14,510,566
2026352035,2016-03-15,422,454
2026352035,2016-03-16,144,185
2026352035,2016-03-17,479,545
2026352035,2016-03-18,575,651
2026352035,2016-03-19,515,591
2026352035,2016-03-20,545,639
2026352035,2016-03-21,567,647
2026352035,2016-03-22,520,574
2026352035,2016-03-23,562,638
2026352035,2016-03-24,531,608
2026352035,2016-03-25,495,562
2026352035,2016-03-26,579,664
2026352035,2016-03-27,545,620
2026352035,2016-03-28,510,569
2026352035,2016-03-29,482,568
2026352035,2016-03-30,468,575
2026352035,2016-03-31,524,587
2026352035,2016-04-01,514,575
2026352035,2016-04-02,528,630
2026352035,2016-04-03,534,687
2026352035,2016-04-04,493,577
2026352035,2016-04-05,531,618
2026352035,2016-04-06,465,573
2026352035,2016-04-07,540,662
2026352035,2016-04-08,521,579
2026352035,2016-04-09,490,625
2026352035,2016-04-10,504,608
2026352035,2016-04-11,541,624
2026352035,2016-04-12,341,367
2347167796,2016-03-11,14,22
2347167796,2016-03-12,474,532
2347167796,2016-03-13,577,669
2347167796,2016-03-14,432,510
2347167796,2016-03-15,501,636
2347167796,2016-03-16,446,511
2347167796,2016-03-17,383,446
2347167796,2016-03-18,435,682
2347167796,2016-03-19,250,275
2347167796,2016-03-20,529,651
2347167796,2016-03-21,452,522
2347167796,2016-03-22,488,565
2347167796,2016-03-23,449,545
2347167796,2016-03-24,435,554
2347167796,2016-03-25,313,387
2347167796,2016-03-27,107,183
2347167796,2016-03-28,516,609
2347167796,2016-03-29,422,527
2347167796,2016-03-30,472,563
2347167796,2016-03-31,517,643
2347167796,2016-04-01,374,410
2347167796,2016-04-02,417,519
2347167796,2016-04-03,579,686
2347167796,2016-04-04,472,584
2347167796,2016-04-05,395,510
2347167796,2016-04-06,372,483
2347167796,2016-04-07,70,86
2347167796,2016-04-08,380,430
2347167796,2016-04-09,18,25
2347167796,2016-04-10,601,727
2347167796,2016-04-11,353,448
3977333714,2016-03-13,304,651
3977333714,2016-03-14,303,540
3977333714,2016-03-15,257,517
3977333714,2016-03-16,208,435
3977333714,2016-03-17,356,610
3977333714,2016-04-01,297,565
3977333714,2016-04-02,199,383
3977333714,2016-04-03,222,504
3977333714,2016-04-04,205,544
3977333714,2016-04-05,378,596
3977333714,2016-04-06,296,556
3977333714,2016-04-07,221,598
3977333714,2016-04-08,305,657
3977333714,2016-04-09,273,567
3977333714,2016-04-10,293,611
3977333714,2016-04-11,282,555
4020332650,2016-03-12,384,484
4020332650,2016-03-13,505,569
4020332650,2016-03-14,265,316
4020332650,2016-03-15,331,356
4020332650,2016-03-16,459,532
4020332650,2016-03-17,374,442
4020332650,2016-03-30,366,410
4020332650,2016-03-31,259,281
4020332650,2016-04-01,429,474
4020332650,2016-04-02,499,518
4020332650,2016-04-03,387,418
4020332650,2016-04-04,463,496
4020332650,2016-04-06,245,276
4020332650,2016-04-10,74,74
4020332650,2016-04-11,426,455
4319703577,2016-03-11,78,109
4319703577,2016-03-12,503,534
4319703577,2016-03-13,364,388
4319703577,2016-03-14,94,108
4319703577,2016-03-15,458,523
4319703577,2016-03-16,496,568
4319703577,2016-03-17,495,563
4319703577,2016-03-18,481,526
4319703577,2016-03-19,473,544
4319703577,2016-03-20,450,535
4319703577,2016-03-21,428,508
4319703577,2016-03-22,63,65
4319703577,2016-03-23,490,531
4319703577,2016-03-24,412,447
4319703577,2016-03-25,519,601
4319703577,2016-03-26,489,546
4319703577,2016-03-27,583,651
4319703577,2016-03-28,498,555
4319703577,2016-03-29,514,590
4319703577,2016-03-30,454,504
4319703577,2016-03-31,38,57
4319703577,2016-04-01,466,502
4319703577,2016-04-02,529,557
4319703577,2016-04-03,568,598
4319703577,2016-04-04,473,544
4319703577,2016-04-05,450,502
4319703577,2016-04-06,470,545
4319703577,2016-04-07,433,467
4445114986,2016-03-12,361,407
4445114986,2016-03-13,348,358
4445114986,2016-03-15,487,645
4445114986,2016-03-16,388,457
4445114986,2016-03-17,217,245
4445114986,2016-03-19,137,178
4445114986,2016-03-20,539,568
4445114986,2016-03-21,195,227
4445114986,2016-03-22,344,381
4445114986,2016-03-24,380,433
4445114986,2016-03-25,325,371
4445114986,2016-03-26,156,176
4445114986,2016-03-27,318,332
4445114986,2016-03-28,359,399
4445114986,2016-03-29,442,526
4445114986,2016-03-31,360,479
4445114986,2016-04-01,311,366
4445114986,2016-04-02,469,523
4445114986,2016-04-05,465,534
4445114986,2016-04-06,431,472
4445114986,2016-04-07,262,277
4445114986,2016-04-08,219,251
4445114986,2016-04-09,391,500
4445114986,2016-04-10,347,396
4445114986,2016-04-11,395,466
4445114986,2016-04-12,308,362
4558609924,2016-03-30,96,106
4558609924,2016-03-31,190,192
4558609924,2016-04-02,86,88
4558609924,2016-04-03,274,280
4702921684,2016-03-11,119,131
4702921684,2016-03-12,454,504
4702921684,2016-03-13,281,295
4702921684,2016-03-14,437,478
4702921684,2016-03-15,453,481
4702921684,2016-03-16,461,516
