id,sleep_date,total_minutes_asleep_method1
1503960366,2016-03-13,411
1503960366,2016-03-14,354
1503960366,2016-03-15,312
1503960366,2016-03-16,333
1503960366,2016-03-17,402
1503960366,2016-03-18,379
1503960366,2016-03-19,447
1503960366,2016-03-20,469
1503960366,2016-03-21,390
1503960366,2016-03-23,281
1503960366,2016-03-24,303
1503960366,2016-03-25,351
1503960366,2016-03-26,437
1503960366,2016-03-27,483
1503960366,2016-03-28,73
1503960366,2016-03-29,349
1503960366,2016-03-31,308
1503960366,2016-04-01,283
1503960366,2016-04-02,439
1503960366,2016-04-03,379
1503960366,2016-04-04,294
1503960366,2016-04-05,280
1503960366,2016-04-09,380
1503960366,2016-04-10,455
1503960366,2016-04-11,310
1644430081,2016-03-27,373
1644430081,2016-03-28,466
1644430081,2016-03-29,56
1644430081,2016-03-30,538
1844505072,2016-04-03,169
1844505072,2016-04-04,771
1844505072,2016-04-09,221
1844505072,2016-04-10,277
1927972279,2016-03-11,29
1927972279,2016-03-12,608
1927972279,2016-03-13,505
1927972279,2016-03-14,173
1927972279,2016-03-15,68
1927972279,2016-03-16,599
1927972279,2016-03-17,6
1927972279,2016-03-18,523
1927972279,2016-03-19,583
1927972279,2016-03-20,548
1927972279,2016-03-21,334
1927972279,2016-03-22,379
1927972279,2016-03-23,447
1927972279,2016-03-24,428
1927972279,2016-03-25,60
1927972279,2016-03-26,387
1927972279,2016-03-27,112
1927972279,2016-03-28,219
1927972279,2016-03-29,563
1927972279,2016-03-30,401
1927972279,2016-03-31,493
1927972279,2016-04-01,369
1927972279,2016-04-02,280
1927972279,2016-04-03,107
1927972279,2016-04-04,465
1927972279,2016-04-05,393
1927972279,2016-04-06,414
1927972279,2016-04-09,39
1927972279,2016-04-10,479
1927972279,2016-04-11,496
1927972279,2016-04-12,482
2022484408,2016-03-13,135
2026352035,2016-03-11,126
2026352035,2016-03-12,540
2026352035,2016-03-13,648
2026352035,2016-03-14,510
2026352035,2016-03-15,422
2026352035,2016-03-16,144
2026352035,2016-03-17,479
2026352035,2016-03-18,575
2026352035,2016-03-19,515
2026352035,2016-03-20,545
2026352035,2016-03-21,567
2026352035,2016-03-22,520
2026352035,2016-03-23,562
2026352035,2016-03-24,531
2026352035,2016-03-25,495
2026352035,2016-03-26,579
2026352035,2016-03-27,545
2026352035,2016-03-28,510
2026352035,2016-03-29,482
2026352035,2016-03-30,468
2026352035,2016-03-31,524
2026352035,2016-04-01,514
2026352035,2016-04-02,528
2026352035,2016-04-03,534
2026352035,2016-04-04,493
2026352035,2016-04-05,531
2026352035,2016-04-06,465
2026352035,2016-04-07,540
2026352035,2016-04-08,521
2026352035,2016-04-09,490
2026352035,2016-04-10,504
2026352035,2016-04-11,541
2026352035,2016-04-12,341
2347167796,2016-03-11,14
2347167796,2016-03-12,474
2347167796,2016-03-13,577
2347167796,2016-03-14,432
2347167796,2016-03-15,501
2347167796,2016-03-16,446
2347167796,2016-03-17,383
2347167796,2016-03-18,435
2347167796,2016-03-19,250
2347167796,2016-03-20,529
2347167796,2016-03-21,452
2347167796,2016-03-22,488
2347167796,2016-03-23,449
2347167796,2016-03-24,435
2347167796,2016-03-25,313
2347167796,2016-03-27,107
2347167796,2016-03-28,516
2347167796,2016-03-29,422
2347167796,2016-03-30,472
2347167796,2016-03-31,517
2347167796,2016-04-01,374
2347167796,2016-04-02,417
2347167796,2016-04-03,579
2347167796,2016-04-04,472
2347167796,2016-04-05,395
2347167796,2016-04-06,372
2347167796,2016-04-07,70
2347167796,2016-04-08,380
2347167796,2016-04-09,18
2347167796,2016-04-10,601
2347167796,2016-04-11,353
3977333714,2016-03-13,304
3977333714,2016-03-14,303
3977333714,2016-03-15,257
3977333714,2016-03-16,208
3977333714,2016-03-17,356
3977333714,2016-04-01,297
3977333714,2016-04-02,199
3977333714,2016-04-03,222
3977333714,2016-04-04,205
3977333714,2016-04-05,378
3977333714,2016-04-06,296
3977333714,2016-04-07,221
3977333714,2016-04-08,305
3977333714,2016-04-09,273
3977333714,2016-04-10,293
3977333714,2016-04-11,282
4020332650,2016-03-12,384
4020332650,2016-03-13,505
4020332650,2016-03-14,265
4020332650,2016-03-15,331
4020332650,2016-03-16,459
4020332650,2016-03-17,374
4020332650,2016-03-30,366
4020332650,2016-03-31,259
4020332650,2016-04-01,429
4020332650,2016-04-02,499
4020332650,2016-04-03,387
4020332650,2016-04-04,463
4020332650,2016-04-06,245
4020332650,2016-04-10,74
4020332650,2016-04-11,426
4319703577,2016-03-11,78
4319703577,2016-03-12,503
4319703577,2016-03-13,364
4319703577,2016-03-14,94
4319703577,2016-03-15,458
4319703577,2016-03-16,496
4319703577,2016-03-17,495
4319703577,2016-03-18,481
4319703577,2016-03-19,473
4319703577,2016-03-20,450
4319703577,2016-03-21,428
4319703577,2016-03-22,63
4319703577,2016-03-23,490
4319703577,2016-03-24,412
4319703577,2016-03-25,519
4319703577,2016-03-26,489
4319703577,2016-03-27,583
4319703577,2016-03-28,498
4319703577,2016-03-29,514
